Speaker	Statement	Rating
Gil Kerlikowske	More people are driving under the influence of drugs than are driving under the influence of alcohol. A recent roadside survey showed that 16 percent of the people tested, tested positive for illicit or licit drugs. That's significantly higher than alcohol.	2
Tom Coburn	The American people will be appalled to learn the health care bill exempts (congressional) leadership and committee staff.	1
Tom Coburn	Medicare has at least $80 billion worth of fraud a year. That's a full 20 percent of every dollar that's spent on Medicare goes to fraud.	2
Tom Coburn	In 2010, everybody said you can't dare let guns go into the national parks, and of course the rapes, murders, robberies and assaults are down about 85 percent since we did that.	4
Tom Coburn	The government's twice the size it was 10 years ago. It's 30 percent bigger than it was when (Barack) Obama became president.	2
Tom Coburn	One in 19 Americans today get SSDI or SSI. That's one in 19 Americans (who) are disabled.	1
Tom Coburn	Under the Obama plan . . . all the health care in this country is eventually going to  be run by the government.	4
Texas Association of School Boards	Texas ranks 49th in per-pupil funding among the states.	1
Raymond Gallison	Seventy-four percent of Rhode Islanders support [a] national popular vote [for president] because they, as I, believe in one person-one vote.	2
SEIU	You worked hard for your money and you paid your taxes when you earned it. Now, (Indiana Republican congressional candidate) Todd Young wants to tax it again when you spend it.	2
SEIU	Republicans fought to protect tax loopholes for corporations that send our jobs overseas.	2
SEIU	There is no clinical evidence that vaccinating healthcare workers protects patients.	4
Shirley Franklin	95 percent of teachers and principals are not implicated in the [Atlanta Public Schools cheating scandal] report at all.	2
Club for Growth	In Minnesota, well over 6,200 election-day registrations from 2008 proved fraudulent.	4
Club for Growth	Mayor Barrett saved Milwaukee $25 million, thanks to Gov. Walkers reforms.	1
Club for Growth	As governor, Mike Huckabee supported higher income taxes, sales taxes, gas taxes, grocery taxes, tobacco taxes, beer taxes, Internet taxes, nursing home bed taxes.	2
Club for Growth	[Former Georgia congressman] Bob Barr voted ... to raise his own pay.	2
John McCallum	A child born in America today will inherit $1.5 million in debt the moment they're placed in their mother's arms.	1
Kay  Hagan	The Common Core was not put together by the Department of Education in Washington. It was put together by governors and by states.	1
Janet Napolitano	We have seized more currency, more drugs, more outbound arms in the past year than any year in our countrys history.	2
Marjorie Sanfilippo	200,000 students attempt suicide every year on college campuses.	2
David Plouffe	Gov. Romney was very clear, he would veto the DREAM Act.	0
David Plouffe	The group that supported the presidents health care bill the most? Latinos.	3
Oregon Department of Agriculture	Oregon school districts are directing 24 percent of their food budgets to purchase local foods. Thats the highest percentage in the country.	2
David Barton	Powerful Houston  Democrats Sylvia Garcia (Democrat county commissioner in Harris County)  and Elyse Lanie(r) (wife of the former liberal Democrat mayor Bob  Lanier) sponsored a Democrat fundraiser for Speaker (Joe) Straus with numerous  Democrat officials and high-ranking union officials.	3
Abel Collins	RIPTA has really some of the fullest buses for its transit agency size around the country.	1
Debbie Dooley	Statistics show that more people at this time telecommute than they ride carpools, mass transit, bicycle or walk.	2
Debbie Dooley	[Eighty-five percent] of the funds collected in each county will be redistributed elsewhere -- not spent in the county in which it is collected.	4
Vincent "Buddy" Cianci	Mike Trainor...still owes $250,000 to the state.	1
Vincent "Buddy" Cianci	[When I was mayor] Providence was one of the five renaissance cities of America, according to USA Today in those days. Money magazine said it was the fifth best city to live in in America. In addition to that, All Cities Almanac said in 1994, I believe, that it was the safest city in America.	0
Vincent "Buddy" Cianci	In 2001 and '02 . . . we had the pension system funded at (the)100% level in that year, and we did for two years at that point.	4
Susan Shapiro	The 2012 National Survey on Drug Use and Health found that up to half of daily marijuana smokers become addicted -- an estimated 2.7 million people in the U.S.	0
Seth Magaziner	In Rhode Island today, 25 percent of our households either don't have a bank account at all, or they have a bank account and they're still relying on high-cost financial services like payday loans, pawn shop check cashing and so on.	0
Shemia Fagan	I sponsored the new Buy American law	4
Matt Bevin	Mitch McConnell voted with Harry Reid to infringe on our gun rights.	5
Priorities USA Action	Mitt Romneys pledged to protect (oil companies') record profits  and their billions in special tax breaks, too.	2
Priorities USA Action	Thousands (in China) owe their jobs to Mitt Romney's companies.	2
Priorities USA Action	Mitt Romney made over a hundred million dollars by shutting down (a Marion, Ind. paper) plant.	3
George LeMieux	Why is January 8th an important date in American history? This day in 1835 is the only day in our history when we have not been in debt.	1
George LeMieux	The Christian Coalition gave (Adam) Hasner an F.	2
George LeMieux	Sources show (Connie) Mack as a resident of California, living with his wife in Palm Springs.	3
George LeMieux	(Bill) Nelson voted for billions in wasteful spending earmarks like the Bridge to Nowhere.	1
George LeMieux	(George) LeMieux never requested a single earmark and pushed to ban them all.	2
George LeMieux	750 days since Bill Nelson & the Democrats in the Senate passed a budget. How can this be justified?	2
George LeMieux	There's more than 100,000 people working at the Department of Agriculture. That's 1 employee for every 30 farmers.	2
George LeMieux	If we just froze spending at 2007 levels ... by 2013 we would balance the budget ... and by 2020 we would cut the national debt in half.	0
